
repaired  (results/jurix_phase1/o2_cf_low_jsonld/repaired)
  file                          conforms  violations  warnings
  input.L1.facts.ttl               False           4         0
  input.L10.facts.ttl              False           2         0
  input.L2.facts.ttl                True           0         0
  input.L3.facts.ttl               False          17         0
  input.L4.facts.ttl                True           0         0
  input.L5.facts.ttl               False           2         0
  input.L6.facts.ttl               False           3         0
  input.L7.facts.ttl                True           0         0
  input.L8.facts.ttl               False           6         0
  input.L9.facts.ttl                True           0         0
  TOTAL                             4/10          34         0
